Boro,M,avg_traffic,avg_nb_measurements
Queens,1,1604.625292740047,36.51990632318501
Queens,2,960.0364842454395,25.12106135986733
Queens,3,2585.9228395061727,46.532407407407405
Queens,4,4458.918338108882,43.62464183381089
Queens,5,14489.92069892473,118.6774193548387
Queens,6,37933.619318181816,252.02982954545453
Queens,7,535.6752577319587,7.938144329896907
Queens,8,2066.852830188679,36.93584905660377
Queens,9,13570.889705882353,167.92892156862746
Queens,10,8013.440860215053,108.09139784946237
Queens,11,12202.943942133816,99.45388788426763
Queens,12,15719.964015151516,179.5340909090909
