Boro,M,avg_traffic,avg_nb_measurements
Bronx,1,7282.537931034482,106.74712643678161
Bronx,2,3500.114814814815,65.42037037037036
Bronx,3,6813.791788856305,91.04105571847508
Bronx,4,4386.592705167173,59.65501519756839
Bronx,5,14837.143626570916,63.60682226211849
Bronx,6,24511.93831168831,165.0974025974026
Bronx,7,1865.2449799196788,15.815261044176706
Bronx,8,847.5342019543974,10.035830618892508
Bronx,9,22689.98046875,158.427734375
Bronx,10,8800.281666666666,124.32
Bronx,11,12326.786231884058,185.2427536231884
Bronx,12,1070.7916666666667,11.822916666666666
