Boro,M,avg_traffic,avg_nb_measurements
Bronx,1,2338.8596491228072,35.31798245614035
Bronx,2,423.22562674094706,12.855153203342619
Bronx,3,4769.544354838709,75.02553763440861
Bronx,4,3979.055785123967,30.479338842975206
Bronx,5,1785.6586538461538,19.26121794871795
Bronx,6,23867.3875,113.7125
Bronx,7,18372.846153846152,62.07692307692308
Bronx,8,1304.373015873016,15.976190476190476
Bronx,9,20547.62084592145,207.7749244712991
Bronx,10,4098.010362694301,73.86528497409327
Bronx,11,37979.54861111111,188.51388888888889
Bronx,12,2984.125,40.101190476190474
