Boro,M,avg_traffic,avg_nb_measurements
Manhattan,1,14956.149321266968,115.3054298642534
Manhattan,2,7012.729166666667,59.27272727272727
Manhattan,3,8976.612068965518,85.89655172413794
Manhattan,4,822.6074561403509,11.234649122807017
Manhattan,5,634.4472361809045,4.623115577889447
Manhattan,6,6925.216748768473,87.8128078817734
Manhattan,7,2764.155844155844,23.428571428571427
Manhattan,9,8288.708333333334,45.951388888888886
Manhattan,10,54068.99731182796,213.96639784946237
Manhattan,11,22979.48302469136,152.29475308641975
