Boro,M,avg_traffic,avg_nb_measurements
Brooklyn,1,7624.215885947046,76.07331975560082
Brooklyn,2,4515.804924242424,58.90909090909091
Brooklyn,3,11673.381720430107,144.19086021505376
Brooklyn,4,10898.8125,155.36527777777778
Brooklyn,5,3301.6169230769233,44.02461538461539
Brooklyn,6,28514.638655462186,247.95098039215685
Brooklyn,7,5597.3388888888885,81.72361111111111
Brooklyn,8,790.2224168126095,20.15411558669002
Brooklyn,9,43000.044444444444,578.1948717948718
Brooklyn,10,36300.62365591398,366.9153225806452
Brooklyn,11,15600.266666666666,141.42777777777778
Brooklyn,12,1697.95670995671,27.40909090909091
