Boro,M,avg_traffic,avg_nb_measurements
Manhattan,1,6408.189873417721,40.68354430379747
Brooklyn,1,5911.06495468278,95.31419939577039
Staten Island,1,2057.419540229885,36.87356321839081
Queens,1,1604.625292740047,36.51990632318501
Bronx,1,930.9095022624434,18.63348416289593
Manhattan,2,4842.373417721519,57.837025316455694
Brooklyn,2,4112.7250470809795,71.26741996233521
Bronx,2,2913.8179824561403,54.31578947368421
Queens,2,960.0364842454395,25.12106135986733
Staten Island,2,188.5318352059925,11.895131086142323
Brooklyn,3,5607.8141025641025,108.96955128205128
Manhattan,3,5020.078525641025,36.20032051282051
Bronx,3,3583.6337078651686,54.23370786516854
Queens,3,2585.9228395061727,46.532407407407405
Staten Island,3,1270.3872679045094,13.53050397877984
Brooklyn,4,11696.002777777778,142.73055555555555
Manhattan,4,10562.690217391304,78.31702898550725
Bronx,4,6871.711111111111,92.43888888888888
Queens,4,4458.918338108882,43.62464183381089
Staten Island,4,2902.0945945945946,20.1981981981982
Brooklyn,5,21592.41935483871,268.93413978494624
Bronx,5,17381.18102189781,77.33138686131387
Queens,5,14489.92069892473,118.6774193548387
Manhattan,5,6314.657196969697,41.14772727272727
Staten Island,5,3278.7421524663678,50.426008968609864
Queens,6,37933.619318181816,252.02982954545453
Manhattan,6,14998.418103448275,110.48419540229885
Brooklyn,6,11554.60653409091,154.3380681818182
Bronx,6,10639.678977272728,132.2400568181818
Staten Island,6,2934.886836027714,48.26558891454965
Manhattan,7,5288.00826446281,28.65289256198347
Bronx,7,3168.826530612245,46.744897959183675
Brooklyn,7,1003.017094017094,37.68376068376068
Staten Island,7,835.375,15.75
Queens,7,535.6752577319587,7.938144329896907
Brooklyn,8,4638.063953488372,71.35319767441861
Manhattan,8,4539.965277777777,16.0
Queens,8,2066.852830188679,36.93584905660377
Staten Island,8,1129.2168674698796,12.718072289156627
Bronx,8,455.96907216494844,11.896907216494846
Queens,9,13570.889705882353,167.92892156862746
Brooklyn,9,9929.940594059406,123.44950495049505
Bronx,9,5716.685220729367,78.30326295585412
Manhattan,9,5534.559068219634,38.21131447587354
Staten Island,9,4133.788834951456,45.59708737864078
Manhattan,10,69166.08467741935,342.88575268817203
Brooklyn,10,14267.996794871795,204.51923076923077
Queens,10,8013.440860215053,108.09139784946237
Bronx,10,6095.197580645161,91.95698924731182
Staten Island,10,664.6603773584906,32.22264150943396
Bronx,11,29783.460416666665,230.47916666666666
Manhattan,11,26198.379362670712,176.68740515933231
Brooklyn,11,23387.481944444444,284.2972222222222
Queens,11,12202.943942133816,99.45388788426763
Staten Island,11,1528.4824902723735,32.10894941634241
Queens,12,15719.964015151516,179.5340909090909
Manhattan,12,11743.203431372549,109.16176470588235
Brooklyn,12,5216.948081264109,98.62528216704288
Staten Island,12,588.2924528301887,14.59433962264151
Bronx,12,535.09375,15.84375
