Boro,M,avg_traffic,avg_nb_measurements
Queens,1,26042.246527777777,312.1076388888889
Manhattan,1,11420.568333333333,101.27166666666666
Bronx,1,11207.58487654321,191.07407407407408
Staten Island,1,5671.0956790123455,103.07407407407408
Brooklyn,1,3978.127192982456,62.94078947368421
Manhattan,2,10654.433333333332,80.79333333333334
Queens,2,5084.51186440678,81.44915254237289
Bronx,2,4403.889880952381,88.0
Staten Island,2,3989.574074074074,72.3641975308642
Brooklyn,2,3983.1125,54.0
Bronx,3,10623.603174603175,70.47619047619048
Brooklyn,3,8651.518301610542,81.11273792093704
Queens,3,5848.905913978495,73.97446236559139
Manhattan,3,5664.981666666667,31.2
Staten Island,3,841.4535211267606,17.019718309859154
Bronx,4,17956.23611111111,76.66666666666667
Queens,4,10365.751984126984,72.70238095238095
Brooklyn,4,4032.551652892562,22.33677685950413
Staten Island,4,1102.6528925619834,9.748760330578513
Manhattan,4,817.3796296296297,13.333333333333334
Queens,5,21525.983870967742,141.15725806451613
Bronx,5,16411.416666666668,75.6923076923077
Brooklyn,5,5733.032663316583,16.173366834170853
Manhattan,5,3179.1875,54.666666666666664
Staten Island,5,2406.965277777778,8.0
Queens,6,14231.681944444445,46.8
Brooklyn,6,8734.89,181.35666666666665
Manhattan,6,5673.566176470588,131.2892156862745
Staten Island,6,3079.8214285714284,24.0
Bronx,6,1947.2395833333333,30.75
Queens,7,2039.795321637427,23.596491228070175
Brooklyn,7,1319.73732718894,16.716589861751153
Brooklyn,8,4501.583333333333,34.0
Queens,8,4087.8869047619046,35.61904761904762
Brooklyn,9,10382.596014492754,126.6304347826087
Staten Island,9,9877.923076923076,101.53846153846153
Queens,9,9588.267361111111,137.65277777777777
Bronx,9,6071.213541666667,47.244791666666664
Manhattan,9,896.0885416666666,25.0
Manhattan,10,74457.98302469136,486.1651234567901
Brooklyn,10,36252.22580645161,368.5443548387097
Queens,10,24105.214583333334,255.0
Bronx,10,5299.666666666667,50.61538461538461
Staten Island,10,2728.1604166666666,38.202083333333334
Bronx,11,25426.072368421053,340.63157894736844
Manhattan,11,20586.090277777777,104.37673611111111
Brooklyn,11,4296.458333333333,47.8125
Queens,11,2174.735632183908,33.10344827586207
Staten Island,11,574.6666666666666,16.0
Manhattan,12,1571.0833333333333,11.0
Staten Island,12,482.90816326530614,20.724489795918366
Brooklyn,12,38.357142857142854,4.0
Bronx,12,9.893518518518519,4.0
