Boro,M,avg_traffic,avg_nb_measurements
Queens,1,26042.246527777777,312.1076388888889
Queens,2,5084.51186440678,81.44915254237289
Queens,3,5848.905913978495,73.97446236559139
Queens,4,10365.751984126984,72.70238095238095
Queens,5,21525.983870967742,141.15725806451613
Queens,6,14231.681944444445,46.8
Queens,7,2039.795321637427,23.596491228070175
Queens,8,4087.8869047619046,35.61904761904762
Queens,9,9588.267361111111,137.65277777777777
Queens,10,24105.214583333334,255.0
Queens,11,2174.735632183908,33.10344827586207
