Boro,M,avg_traffic,avg_nb_measurements
Manhattan,1,4085.708830548926,41.10262529832936
Bronx,1,2338.8596491228072,35.31798245614035
Queens,1,2274.061111111111,40.3
Brooklyn,1,2247.0416666666665,81.75
Staten Island,1,1388.110497237569,32.392265193370164
Manhattan,2,7914.796130952381,149.17113095238096
Queens,2,5043.043154761905,112.46577380952381
Brooklyn,2,1998.4465290806754,30.878048780487806
Staten Island,2,1016.6542056074767,35.88785046728972
Bronx,2,423.22562674094706,12.855153203342619
Brooklyn,3,10620.428785607197,127.77811094452774
Manhattan,3,5644.708649468892,38.28072837632777
Bronx,3,4769.544354838709,75.02553763440861
Queens,3,4145.48252688172,63.138440860215056
Staten Island,3,2457.501385041551,27.102493074792243
Brooklyn,4,10936.15138888889,119.94583333333334
Queens,4,8185.322222222222,79.6361111111111
Manhattan,4,5103.319277108434,25.2394578313253
Bronx,4,3979.055785123967,30.479338842975206
Staten Island,4,1020.0464285714286,19.892857142857142
Queens,5,19552.33064516129,132.1747311827957
Manhattan,5,8534.963875205254,74.26765188834155
Brooklyn,5,4769.451063829787,61.02978723404255
Staten Island,5,1992.0115384615385,38.34230769230769
Bronx,5,1785.6586538461538,19.26121794871795
Queens,6,50095.42083333333,499.1125
Brooklyn,6,33216.55,261.70972222222224
Bronx,6,23867.3875,113.7125
Manhattan,6,22267.17638888889,146.5361111111111
Staten Island,6,6850.265625,72.0
Manhattan,7,24764.37634408602,229.31182795698925
Bronx,7,18372.846153846152,62.07692307692308
Brooklyn,7,5805.9692982456145,24.55482456140351
Queens,7,3036.0304709141274,44.02216066481994
Staten Island,7,358.7684210526316,11.884210526315789
Manhattan,8,8095.25073313783,114.06891495601172
Brooklyn,8,2876.3216560509554,41.87579617834395
Queens,8,2364.3489736070383,27.964809384164223
Staten Island,8,1341.8559670781892,23.814814814814813
Bronx,8,1304.373015873016,15.976190476190476
Bronx,9,20547.62084592145,207.7749244712991
Manhattan,9,19942.96110210697,151.15072933549433
Queens,9,13393.21272365805,189.12524850894633
Brooklyn,9,11436.144444444444,147.01944444444445
Staten Island,9,5645.219387755102,63.42857142857143
Manhattan,10,64160.66129032258,300.94086021505376
Queens,10,34546.45295698925,283.13440860215053
Brooklyn,10,19337.059139784946,210.54301075268816
Staten Island,10,5161.407749077491,46.950184501845015
Bronx,10,4098.010362694301,73.86528497409327
Bronx,11,37979.54861111111,188.51388888888889
Brooklyn,11,37471.17083333333,426.67083333333335
Queens,11,31450.834951456312,185.04854368932038
Manhattan,11,7011.12012987013,44.1525974025974
Staten Island,11,1730.764705882353,18.352941176470587
Queens,12,4323.776649746193,91.03807106598985
Brooklyn,12,3785.2261904761904,56.607142857142854
Bronx,12,2984.125,40.101190476190474
Manhattan,12,146.84594594594594,5.9135135135135135
