Boro,M,avg_traffic,avg_nb_measurements
Brooklyn,1,6248.865384615385,88.3076923076923
Brooklyn,2,4560.297362110312,63.302158273381295
Brooklyn,3,7153.720682302772,164.03837953091684
Brooklyn,4,10710.409722222223,126.86631944444444
Brooklyn,5,3035.9153225806454,49.07795698924731
Brooklyn,6,12243.173611111111,133.30902777777777
Brooklyn,7,409.26453488372096,13.616279069767442
Brooklyn,8,329.21153846153845,10.993589743589743
Brooklyn,9,1337.7604166666667,19.84375
Brooklyn,10,12546.910714285714,169.36904761904762
Brooklyn,11,36383.482142857145,545.9583333333334
Brooklyn,12,2105.6182795698924,30.301075268817204
