Boro,M,avg_traffic,avg_nb_measurements
Staten Island,1,2057.419540229885,36.87356321839081
Staten Island,2,188.5318352059925,11.895131086142323
Staten Island,3,1270.3872679045094,13.53050397877984
Staten Island,4,2902.0945945945946,20.1981981981982
Staten Island,5,3278.7421524663678,50.426008968609864
Staten Island,6,2934.886836027714,48.26558891454965
Staten Island,7,835.375,15.75
Staten Island,8,1129.2168674698796,12.718072289156627
Staten Island,9,4133.788834951456,45.59708737864078
Staten Island,10,664.6603773584906,32.22264150943396
Staten Island,11,1528.4824902723735,32.10894941634241
Staten Island,12,588.2924528301887,14.59433962264151
