Boro,M,avg_traffic,avg_nb_measurements
Manhattan,1,4085.708830548926,41.10262529832936
Manhattan,2,7914.796130952381,149.17113095238096
Manhattan,3,5644.708649468892,38.28072837632777
Manhattan,4,5103.319277108434,25.2394578313253
Manhattan,5,8534.963875205254,74.26765188834155
Manhattan,6,22267.17638888889,146.5361111111111
Manhattan,7,24764.37634408602,229.31182795698925
Manhattan,8,8095.25073313783,114.06891495601172
Manhattan,9,19942.96110210697,151.15072933549433
Manhattan,10,64160.66129032258,300.94086021505376
Manhattan,11,7011.12012987013,44.1525974025974
Manhattan,12,146.84594594594594,5.9135135135135135
