Boro,M,avg_traffic,avg_nb_measurements
Staten Island,1,5671.0956790123455,103.07407407407408
Staten Island,2,3989.574074074074,72.3641975308642
Staten Island,3,841.4535211267606,17.019718309859154
Staten Island,4,1102.6528925619834,9.748760330578513
Staten Island,5,2406.965277777778,8.0
Staten Island,6,3079.8214285714284,24.0
Staten Island,9,9877.923076923076,101.53846153846153
Staten Island,10,2728.1604166666666,38.202083333333334
Staten Island,11,574.6666666666666,16.0
Staten Island,12,482.90816326530614,20.724489795918366
