Boro,M,avg_traffic,avg_nb_measurements
Bronx,1,930.9095022624434,18.63348416289593
Bronx,2,2913.8179824561403,54.31578947368421
Bronx,3,3583.6337078651686,54.23370786516854
Bronx,4,6871.711111111111,92.43888888888888
Bronx,5,17381.18102189781,77.33138686131387
Bronx,6,10639.678977272728,132.2400568181818
Bronx,7,3168.826530612245,46.744897959183675
Bronx,8,455.96907216494844,11.896907216494846
Bronx,9,5716.685220729367,78.30326295585412
Bronx,10,6095.197580645161,91.95698924731182
Bronx,11,29783.460416666665,230.47916666666666
Bronx,12,535.09375,15.84375
