Boro,M,avg_traffic,avg_nb_measurements
Queens,1,2121.4417344173444,30.471544715447155
Queens,2,9876.83014354067,190.32535885167465
Queens,3,1009.7861111111112,36.772222222222226
Queens,4,22049.223958333332,181.07986111111111
Queens,5,12970.751344086022,111.61827956989248
Queens,6,35029.24486803519,198.80791788856305
Queens,7,239.0391061452514,10.759776536312849
Queens,8,397.7079646017699,11.216814159292035
Queens,9,1961.5862068965516,43.310344827586206
Queens,10,1417.5378787878788,26.727272727272727
Queens,11,15655.666666666666,179.33333333333334
Queens,12,202.36309523809524,16.0
