id,name,latitude,longitude,borough,neighborhood,neighborhood_id,borough_id
268.0,Howard St & Centre St,40.71910537,-73.99973337,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
3002.0,South End Ave & Liberty St,40.711512,-74.015756,Manhattan,Battery Park City-Lower Manhattan,MN25,1.0
476.0,E 31 St & 3 Ave,40.74394314,-73.97966069,Manhattan,Murray Hill-Kips Bay,MN20,1.0
498.0,Broadway & W 32 St,40.74854862,-73.98808416,Manhattan,Midtown-Midtown South,MN17,1.0
489.0,10 Ave & W 28 St,40.75066386,-74.00176802,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,1.0
284.0,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,Manhattan,West Village,MN23,1.0
2006.0,Central Park S & 6 Ave,40.76590936,-73.97634151,Manhattan,park-cemetery-etc-Manhattan,MN99,1.0
3104.0,Kent Ave & N 7 St,40.72057658,-73.96150225,Brooklyn,North Side-South Side,BK73,3.0
389.0,Broadway & Berry St,40.71044554,-73.96525063,Brooklyn,North Side-South Side,BK73,3.0
3167.0,Amsterdam Ave & W 73 St,40.77966809007312,-73.98093044757842,Manhattan,Lincoln Square,MN14,1.0
3164.0,Columbus Ave & W 72 St,40.7770575,-73.97898475,Manhattan,Lincoln Square,MN14,1.0
497.0,E 17 St & Broadway,40.73704984,-73.99009296,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,1.0
527.0,E 33 St & 2 Ave,40.744023,-73.976056,Manhattan,Murray Hill-Kips Bay,MN20,1.0
259.0,South St & Whitehall St,40.70122128,-74.01234218,Manhattan,Battery Park City-Lower Manhattan,MN25,1.0
432.0,E 7 St & Avenue A,40.72621788,-73.98379855,Manhattan,East Village,MN22,1.0
311.0,Norfolk St & Broome St,40.7172274,-73.98802084,Manhattan,Chinatown,MN27,1.0
3226.0,W 82 St & Central Park West,40.78275,-73.97137,Manhattan,Upper West Side,MN12,1.0
509.0,9 Ave & W 22 St,40.7454973,-74.00197139,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,1.0
331.0,Pike St & Monroe St,40.71173107,-73.99193043,Manhattan,Lower East Side,MN28,1.0
236.0,St Marks Pl & 2 Ave,40.7284186,-73.98713956,Manhattan,East Village,MN22,1.0
444.0,Broadway & W 24 St,40.7423543,-73.98915076,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,1.0
490.0,8 Ave & W 33 St,40.751551,-73.993934,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,1.0
3165.0,Central Park West & W 72 St,40.77579376683666,-73.9762057363987,Manhattan,park-cemetery-etc-Manhattan,MN99,1.0
3168.0,Central Park West & W 85 St,40.78472675,-73.96961715,Manhattan,park-cemetery-etc-Manhattan,MN99,1.0
3117.0,Franklin St & Dupont St,40.73564,-73.95866,Brooklyn,Greenpoint,BK76,3.0
442.0,W 27 St & 7 Ave,40.746647,-73.993915,Manhattan,Midtown-Midtown South,MN17,1.0
545.0,E 23 St & 1 Ave,40.736502,-73.97809472,Manhattan,Stuyvesant Town-Cooper Village,MN50,1.0
439.0,E 4 St & 2 Ave,40.7262807,-73.98978041,Manhattan,East Village,MN22,1.0
483.0,E 12 St & 3 Ave,40.73223272,-73.98889957,Manhattan,East Village,MN22,1.0
532.0,S 5 Pl & S 4 St,40.710451,-73.960876,Brooklyn,North Side-South Side,BK73,3.0
401.0,Allen St & Rivington St,40.72019576,-73.98997825,Manhattan,Chinatown,MN27,1.0
3116.0,Huron St & Franklin St,40.73266,-73.95826,Brooklyn,Greenpoint,BK76,3.0
3126.0,44 Dr & Jackson Ave,40.74718234,-73.9432635,Queens,Hunters Point-Sunnyside-West Maspeth,QN31,4.0
512.0,W 29 St & 9 Ave,40.7500727,-73.99839279,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,1.0
466.0,W 25 St & 6 Ave,40.74395411,-73.99144871,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,1.0
387.0,Centre St & Chambers St,40.71273266,-74.0046073,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
503.0,E 20 St & Park Ave,40.73827428,-73.98751968,Manhattan,Gramercy,MN21,1.0
3143.0,5 Ave & E 78 St,40.77682863439968,-73.96388769149779,Manhattan,park-cemetery-etc-Manhattan,MN99,1.0
479.0,9 Ave & W 45 St,40.76019252,-73.9912551,Manhattan,Clinton,MN15,1.0
531.0,Forsyth St & Broome St,40.71893904,-73.99266288,Manhattan,Chinatown,MN27,1.0
2003.0,1 Ave & E 18 St,40.73381219196632,-73.98054420948029,Manhattan,Stuyvesant Town-Cooper Village,MN50,1.0
3231.0,E 67 St & Park Ave,40.76780080148132,-73.96592080593109,Manhattan,Upper East Side-Carnegie Hill,MN40,1.0
3175.0,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,Manhattan,Lincoln Square,MN14,1.0
3166.0,Riverside Dr & W 72 St,40.78057799010334,-73.98562431335449,Manhattan,Upper West Side,MN12,1.0
517.0,Pershing Square South,40.751581,-73.97791,Manhattan,Murray Hill-Kips Bay,MN20,1.0
237.0,E 11 St & 2 Ave,40.73047309,-73.98672378,Manhattan,East Village,MN22,1.0
385.0,E 55 St & 2 Ave,40.75797322,-73.96603308,Manhattan,Turtle Bay-East Midtown,MN19,1.0
281.0,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,Manhattan,Midtown-Midtown South,MN17,1.0
3138.0,E 77 St & Park Ave,40.774405455003,-73.96175265312193,Manhattan,Upper East Side-Carnegie Hill,MN40,1.0
3134.0,3 Ave & E 62 St,40.76312584,-73.96526895,Manhattan,Lenox Hill-Roosevelt Island,MN31,1.0
358.0,Christopher St & Greenwich St,40.73291553,-74.00711384,Manhattan,West Village,MN23,1.0
363.0,West Thames St,40.70834698,-74.01713445,Manhattan,Battery Park City-Lower Manhattan,MN25,1.0
146.0,Hudson St & Reade St,40.71625008,-74.0091059,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
264.0,Maiden Ln & Pearl St,40.70706456,-74.00731853,Manhattan,Battery Park City-Lower Manhattan,MN25,1.0
3147.0,E 85 St & 3 Ave,40.77801203,-73.95407149,Manhattan,Yorkville,MN32,1.0
376.0,John St & William St,40.70862144,-74.00722156,Manhattan,Battery Park City-Lower Manhattan,MN25,1.0
152.0,Warren St & Church St,40.71473993,-74.00910627,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
518.0,E 39 St & 2 Ave,40.74780373,-73.9734419,Manhattan,Murray Hill-Kips Bay,MN20,1.0
433.0,E 13 St & Avenue A,40.72955361,-73.98057249,Manhattan,East Village,MN22,1.0
406.0,Hicks St & Montague St,40.69512845,-73.99595065,Brooklyn,Brooklyn Heights-Cobble Hill,BK09,3.0
391.0,Clark St & Henry St,40.69760127,-73.99344559,Brooklyn,Brooklyn Heights-Cobble Hill,BK09,3.0
491.0,E 24 St & Park Ave S,40.74096374,-73.98602213,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,1.0
495.0,W 47 St & 10 Ave,40.76269882,-73.99301222,Manhattan,Clinton,MN15,1.0
280.0,E 10 St & 5 Ave,40.73331967,-73.99510132,Manhattan,West Village,MN23,1.0
492.0,W 33 St & 7 Ave,40.75019995,-73.99093085,Manhattan,Midtown-Midtown South,MN17,1.0
