id,name,latitude,longitude,borough,neighborhood,neighborhood_id,borough_id
455,1 Ave & E 44 St,40.75001986,-73.96905301,Manhattan,Turtle Bay-East Midtown,MN19,1.0
265,Stanton St & Chrystie St,40.72229346,-73.99147535,Manhattan,Chinatown,MN27,1.0
434,9 Ave & W 18 St,40.74317449,-74.00366443,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,1.0
482,W 15 St & 7 Ave,40.73935542,-73.99931783,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,1.0
491,E 24 St & Park Ave S,40.74096374,-73.98602213,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,1.0
505,6 Ave & W 33 St,40.74901271,-73.98848395,Manhattan,Midtown-Midtown South,MN17,1.0
384,Fulton St & Waverly Ave,40.68317813,-73.9659641,Brooklyn,Clinton Hill,BK69,3.0
399,Lafayette Ave & St James Pl,40.68851534,-73.9647628,Brooklyn,Clinton Hill,BK69,3.0
474,5 Ave & E 29 St,40.7451677,-73.98683077,Manhattan,Midtown-Midtown South,MN17,1.0
432,E 7 St & Avenue A,40.72621788,-73.98379855,Manhattan,East Village,MN22,1.0
512,W 29 St & 9 Ave,40.7500727,-73.99839279,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,1.0
383,Greenwich Ave & Charles St,40.735238,-74.000271,Manhattan,West Village,MN23,1.0
498,Broadway & W 32 St,40.74854862,-73.98808416,Manhattan,Midtown-Midtown South,MN17,1.0
405,Washington St & Gansevoort St,40.739323,-74.008119,Manhattan,West Village,MN23,1.0
174,E 25 St & 1 Ave,40.7381765,-73.97738662,Manhattan,Murray Hill-Kips Bay,MN20,1.0
450,W 49 St & 8 Ave,40.76227205,-73.98788205,Manhattan,Clinton,MN15,1.0
488,W 39 St & 9 Ave,40.75645824,-73.99372222,Manhattan,Clinton,MN15,1.0
160,E 37 St & Lexington Ave,40.748238,-73.978311,Manhattan,Murray Hill-Kips Bay,MN20,1.0
291,Madison St & Montgomery St,40.713126,-73.984844,Manhattan,Lower East Side,MN28,1.0
151,Cleveland Pl & Spring St,40.7218158,-73.99720307,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
517,Pershing Square South,40.751581,-73.97791,Manhattan,Murray Hill-Kips Bay,MN20,1.0
540,Lexington Ave & E 26 St,40.74147286,-73.98320928,Manhattan,Gramercy,MN21,1.0
290,2 Ave & E 58 St,40.76020258,-73.96478473,Manhattan,Turtle Bay-East Midtown,MN19,1.0
507,E 25 St & 2 Ave,40.73912601,-73.97973776,Manhattan,Murray Hill-Kips Bay,MN20,1.0
361,Allen St & Hester St,40.71605866,-73.99190759,Manhattan,Chinatown,MN27,1.0
438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,Manhattan,East Village,MN22,1.0
317,E 6 St & Avenue B,40.72453734,-73.98185424,Manhattan,East Village,MN22,1.0
2012,E 27 St & 1 Ave,40.739445,-73.976806,Manhattan,Murray Hill-Kips Bay,MN20,1.0
285,Broadway & E 14 St,40.73454567,-73.99074142,Manhattan,West Village,MN23,1.0
312,Allen St & E Houston St,40.722055,-73.989111,Manhattan,Chinatown,MN27,1.0
466,W 25 St & 6 Ave,40.74395411,-73.99144871,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,1.0
454,E 51 St & 1 Ave,40.75455731,-73.96592976,Manhattan,Turtle Bay-East Midtown,MN19,1.0
360,William St & Pine St,40.70717936,-74.00887308,Manhattan,Battery Park City-Lower Manhattan,MN25,1.0
391,Clark St & Henry St,40.69760127,-73.99344559,Brooklyn,Brooklyn Heights-Cobble Hill,BK09,3.0
485,W 37 St & 5 Ave,40.75038009,-73.98338988,Manhattan,Midtown-Midtown South,MN17,1.0
251,Mott St & Prince St,40.72317958,-73.99480012,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
449,W 52 St & 9 Ave,40.76461837,-73.98789473,Manhattan,Clinton,MN15,1.0
509,9 Ave & W 22 St,40.7454973,-74.00197139,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,1.0
