,year,number_trips_from,ntacode,ntaname,centroid
305,2019,8798,QN68,Queensbridge-Ravenswood-Long Island City,POINT (-73.93874968623128 40.75756028876127)
306,2020,10660,QN68,Queensbridge-Ravenswood-Long Island City,POINT (-73.93874968623128 40.75756028876127)
307,2017,1600,QN70,Astoria,POINT (-73.91969740266353 40.76149400262137)
308,2018,7344,QN70,Astoria,POINT (-73.91969740266353 40.76149400262137)
309,2019,7444,QN70,Astoria,POINT (-73.91969740266353 40.76149400262137)
310,2020,10348,QN70,Astoria,POINT (-73.91969740266353 40.76149400262137)
311,2017,905,QN71,Old Astoria,POINT (-73.928333268597 40.771570587393036)
312,2018,4224,QN71,Old Astoria,POINT (-73.928333268597 40.771570587393036)
313,2019,4825,QN71,Old Astoria,POINT (-73.928333268597 40.771570587393036)
314,2020,6766,QN71,Old Astoria,POINT (-73.928333268597 40.771570587393036)
315,2017,791,QN72,Steinway,POINT (-73.90540624149745 40.77741787272097)
316,2018,4029,QN72,Steinway,POINT (-73.90540624149745 40.77741787272097)
317,2019,4621,QN72,Steinway,POINT (-73.90540624149745 40.77741787272097)
318,2020,5989,QN72,Steinway,POINT (-73.90540624149745 40.77741787272097)
319,2017,436,QN99,park-cemetery-etc-Queens,POINT (-73.83257133155394 40.69011332348103)
320,2018,2212,QN99,park-cemetery-etc-Queens,POINT (-73.83257133155394 40.69011332348103)
321,2019,2482,QN99,park-cemetery-etc-Queens,POINT (-73.83257133155394 40.69011332348103)
322,2020,3264,QN99,park-cemetery-etc-Queens,POINT (-73.83257133155394 40.69011332348103)
