,year,number_trips_from,ntacode,ntaname,centroid
65,2020,12276,BK68,Fort Greene,POINT (-73.9748815145191 40.6907954996976)
66,2014,5469,BK69,Clinton Hill,POINT (-73.9623634059295 40.68796731046572)
67,2015,6369,BK69,Clinton Hill,POINT (-73.9623634059295 40.68796731046572)
68,2016,8189,BK69,Clinton Hill,POINT (-73.9623634059295 40.68796731046572)
69,2017,8939,BK69,Clinton Hill,POINT (-73.9623634059295 40.68796731046572)
70,2018,9527,BK69,Clinton Hill,POINT (-73.9623634059295 40.68796731046572)
71,2019,9784,BK69,Clinton Hill,POINT (-73.9623634059295 40.68796731046572)
72,2020,11243,BK69,Clinton Hill,POINT (-73.9623634059295 40.68796731046572)
73,2015,1437,BK72,Williamsburg,POINT (-73.95859644085047 40.70391655305693)
74,2016,3598,BK72,Williamsburg,POINT (-73.95859644085047 40.70391655305693)
75,2017,3845,BK72,Williamsburg,POINT (-73.95859644085047 40.70391655305693)
76,2018,4097,BK72,Williamsburg,POINT (-73.95859644085047 40.70391655305693)
77,2019,5284,BK72,Williamsburg,POINT (-73.95859644085047 40.70391655305693)
78,2020,5867,BK72,Williamsburg,POINT (-73.95859644085047 40.70391655305693)
79,2014,6766,BK73,North Side-South Side,POINT (-73.9586233648562 40.714915809253945)
80,2015,8362,BK73,North Side-South Side,POINT (-73.9586233648562 40.714915809253945)
81,2016,11244,BK73,North Side-South Side,POINT (-73.9586233648562 40.714915809253945)
82,2017,11836,BK73,North Side-South Side,POINT (-73.9586233648562 40.714915809253945)
83,2018,13095,BK73,North Side-South Side,POINT (-73.9586233648562 40.714915809253945)
84,2019,13569,BK73,North Side-South Side,POINT (-73.9586233648562 40.714915809253945)
85,2020,15608,BK73,North Side-South Side,POINT (-73.9586233648562 40.714915809253945)
86,2014,4178,BK75,Bedford,POINT (-73.94990513672968 40.69150836800544)
87,2015,5508,BK75,Bedford,POINT (-73.94990513672968 40.69150836800544)
88,2016,8127,BK75,Bedford,POINT (-73.94990513672968 40.69150836800544)
89,2017,9066,BK75,Bedford,POINT (-73.94990513672968 40.69150836800544)
90,2018,9915,BK75,Bedford,POINT (-73.94990513672968 40.69150836800544)
91,2019,10386,BK75,Bedford,POINT (-73.94990513672968 40.69150836800544)
92,2020,12149,BK75,Bedford,POINT (-73.94990513672968 40.69150836800544)
93,2015,2852,BK76,Greenpoint,POINT (-73.94951726761383 40.72950018783745)
94,2016,8381,BK76,Greenpoint,POINT (-73.94951726761383 40.72950018783745)
95,2017,9558,BK76,Greenpoint,POINT (-73.94951726761383 40.72950018783745)
96,2018,10546,BK76,Greenpoint,POINT (-73.94951726761383 40.72950018783745)
97,2019,11691,BK76,Greenpoint,POINT (-73.94951726761383 40.72950018783745)
98,2020,13936,BK76,Greenpoint,POINT (-73.94951726761383 40.72950018783745)
99,2019,5921,BK77,Bushwick North,POINT (-73.9177664930351 40.700561259715606)
100,2020,10203,BK77,Bushwick North,POINT (-73.9177664930351 40.700561259715606)
101,2015,1706,BK78,Bushwick South,POINT (-73.92511596379691 40.69646029016622)
102,2016,5239,BK78,Bushwick South,POINT (-73.92511596379691 40.69646029016622)
103,2017,6181,BK78,Bushwick South,POINT (-73.92511596379691 40.69646029016622)
104,2018,5668,BK78,Bushwick South,POINT (-73.92511596379691 40.69646029016622)
105,2019,8293,BK78,Bushwick South,POINT (-73.92511596379691 40.69646029016622)
106,2020,12274,BK78,Bushwick South,POINT (-73.92511596379691 40.69646029016622)
107,2019,282,BK79,Ocean Hill,POINT (-73.91364741621541 40.67663797602445)
108,2020,5075,BK79,Ocean Hill,POINT (-73.91364741621541 40.67663797602445)
109,2015,2826,BK90,East Williamsburg,POINT (-73.93679670137968 40.715369315164686)
110,2016,7925,BK90,East Williamsburg,POINT (-73.93679670137968 40.715369315164686)
111,2017,8569,BK90,East Williamsburg,POINT (-73.93679670137968 40.715369315164686)
112,2018,9382,BK90,East Williamsburg,POINT (-73.93679670137968 40.715369315164686)
113,2019,10317,BK90,East Williamsburg,POINT (-73.93679670137968 40.715369315164686)
114,2020,12583,BK90,East Williamsburg,POINT (-73.93679670137968 40.715369315164686)
115,2014,3692,BK99,park-cemetery-etc-Brooklyn,POINT (-73.91960461699512 40.62313372883387)
116,2015,4286,BK99,park-cemetery-etc-Brooklyn,POINT (-73.91960461699512 40.62313372883387)
117,2016,5885,BK99,park-cemetery-etc-Brooklyn,POINT (-73.91960461699512 40.62313372883387)
118,2017,7711,BK99,park-cemetery-etc-Brooklyn,POINT (-73.91960461699512 40.62313372883387)
119,2018,8999,BK99,park-cemetery-etc-Brooklyn,POINT (-73.91960461699512 40.62313372883387)
120,2019,9628,BK99,park-cemetery-etc-Brooklyn,POINT (-73.91960461699512 40.62313372883387)
121,2020,10903,BK99,park-cemetery-etc-Brooklyn,POINT (-73.91960461699512 40.62313372883387)
122,2020,1520,BX01,Claremont-Bathgate,POINT (-73.90031729094403 40.842748039754156)
123,2020,2494,BX14,East Concourse-Concourse Village,POINT (-73.91578823010606 40.83051201935377)
124,2020,1794,BX26,Highbridge,POINT (-73.92615863971687 40.8378263260568)
125,2020,952,BX27,Hunts Point,POINT (-73.88554720580814 40.81208976780067)
126,2020,1378,BX33,Longwood,POINT (-73.8989566968868 40.8196755653549)
127,2020,4203,BX34,Melrose South-Mott Haven North,POINT (-73.91285016714536 40.81825968372812)
128,2020,1364,BX35,Morrisania-Melrose,POINT (-73.90235171632081 40.82751268599862)
129,2020,5405,BX39,Mott Haven-Port Morris,POINT (-73.91682169084291 40.807347617632665)
130,2020,182,BX41,Mount Hope,POINT (-73.90512182876826 40.84905839535062)
131,2020,2703,BX63,West Concourse,POINT (-73.92439831166612 40.828998571048395)
132,2020,856,BX75,Crotona Park East,POINT (-73.88589670959695 40.83399617577541)
133,2020,468,BX99,park-cemetery-etc-Bronx,POINT (-73.84800054683579 40.872470622252074)
134,2017,1307,MN03,Central Harlem North-Polo Grounds,POINT (-73.94077126261016 40.81825825256236)
135,2018,5049,MN03,Central Harlem North-Polo Grounds,POINT (-73.94077126261016 40.81825825256236)
136,2019,5402,MN03,Central Harlem North-Polo Grounds,POINT (-73.94077126261016 40.81825825256236)
137,2020,9008,MN03,Central Harlem North-Polo Grounds,POINT (-73.94077126261016 40.81825825256236)
138,2020,5539,MN04,Hamilton Heights,POINT (-73.94846489358781 40.8270204626955)
139,2017,141,MN06,Manhattanville,POINT (-73.9538223372803 40.81802284136815)
140,2018,2277,MN06,Manhattanville,POINT (-73.9538223372803 40.81802284136815)
141,2019,3024,MN06,Manhattanville,POINT (-73.9538223372803 40.81802284136815)
142,2020,7218,MN06,Manhattanville,POINT (-73.9538223372803 40.81802284136815)
143,2016,2255,MN09,Morningside Heights,POINT (-73.96254397930977 40.807886944959726)
144,2017,6258,MN09,Morningside Heights,POINT (-73.96254397930977 40.807886944959726)
145,2018,7729,MN09,Morningside Heights,POINT (-73.96254397930977 40.807886944959726)
146,2019,8021,MN09,Morningside Heights,POINT (-73.96254397930977 40.807886944959726)
147,2020,9829,MN09,Morningside Heights,POINT (-73.96254397930977 40.807886944959726)
148,2017,1912,MN11,Central Harlem South,POINT (-73.9512942216799 40.80433288478579)
149,2018,6745,MN11,Central Harlem South,POINT (-73.9512942216799 40.80433288478579)
150,2019,7238,MN11,Central Harlem South,POINT (-73.9512942216799 40.80433288478579)
151,2020,9770,MN11,Central Harlem South,POINT (-73.9512942216799 40.80433288478579)
152,2015,2061,MN12,Upper West Side,POINT (-73.97390752609348 40.79038084375528)
153,2016,6992,MN12,Upper West Side,POINT (-73.97390752609348 40.79038084375528)
154,2017,8080,MN12,Upper West Side,POINT (-73.97390752609348 40.79038084375528)
155,2018,9385,MN12,Upper West Side,POINT (-73.97390752609348 40.79038084375528)
156,2019,9747,MN12,Upper West Side,POINT (-73.97390752609348 40.79038084375528)
157,2020,12849,MN12,Upper West Side,POINT (-73.97390752609348 40.79038084375528)
158,2014,7852,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,POINT (-73.99901954930469 40.747581802378754)
159,2015,8820,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,POINT (-73.99901954930469 40.747581802378754)
160,2016,11217,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,POINT (-73.99901954930469 40.747581802378754)
161,2017,12324,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,POINT (-73.99901954930469 40.747581802378754)
162,2018,13967,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,POINT (-73.99901954930469 40.747581802378754)
163,2019,14623,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,POINT (-73.99901954930469 40.747581802378754)
164,2020,16409,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,POINT (-73.99901954930469 40.747581802378754)
165,2014,5429,MN14,Lincoln Square,POINT (-73.9846992399176 40.774846639277094)
166,2015,6102,MN14,Lincoln Square,POINT (-73.9846992399176 40.774846639277094)
167,2016,7883,MN14,Lincoln Square,POINT (-73.9846992399176 40.774846639277094)
168,2017,8831,MN14,Lincoln Square,POINT (-73.9846992399176 40.774846639277094)
169,2018,10003,MN14,Lincoln Square,POINT (-73.9846992399176 40.774846639277094)
170,2019,10223,MN14,Lincoln Square,POINT (-73.9846992399176 40.774846639277094)
171,2020,12462,MN14,Lincoln Square,POINT (-73.9846992399176 40.774846639277094)
172,2014,6627,MN15,Clinton,POINT (-73.99239931136506 40.76416544437667)
173,2015,7017,MN15,Clinton,POINT (-73.99239931136506 40.76416544437667)
174,2016,8863,MN15,Clinton,POINT (-73.99239931136506 40.76416544437667)
175,2017,9762,MN15,Clinton,POINT (-73.99239931136506 40.76416544437667)
176,2018,10744,MN15,Clinton,POINT (-73.99239931136506 40.76416544437667)
177,2019,11021,MN15,Clinton,POINT (-73.99239931136506 40.76416544437667)
178,2020,13253,MN15,Clinton,POINT (-73.99239931136506 40.76416544437667)
179,2014,7510,MN17,Midtown-Midtown South,POINT (-73.98350268957176 40.75573465203874)
180,2015,8367,MN17,Midtown-Midtown South,POINT (-73.98350268957176 40.75573465203874)
181,2016,10614,MN17,Midtown-Midtown South,POINT (-73.98350268957176 40.75573465203874)
182,2017,11784,MN17,Midtown-Midtown South,POINT (-73.98350268957176 40.75573465203874)
183,2018,13391,MN17,Midtown-Midtown South,POINT (-73.98350268957176 40.75573465203874)
184,2019,13792,MN17,Midtown-Midtown South,POINT (-73.98350268957176 40.75573465203874)
185,2020,16204,MN17,Midtown-Midtown South,POINT (-73.98350268957176 40.75573465203874)
186,2014,7082,MN19,Turtle Bay-East Midtown,POINT (-73.96901836524583 40.75431357667343)
187,2015,7861,MN19,Turtle Bay-East Midtown,POINT (-73.96901836524583 40.75431357667343)
188,2016,10102,MN19,Turtle Bay-East Midtown,POINT (-73.96901836524583 40.75431357667343)
189,2017,11099,MN19,Turtle Bay-East Midtown,POINT (-73.96901836524583 40.75431357667343)
190,2018,12658,MN19,Turtle Bay-East Midtown,POINT (-73.96901836524583 40.75431357667343)
191,2019,13113,MN19,Turtle Bay-East Midtown,POINT (-73.96901836524583 40.75431357667343)
192,2020,14707,MN19,Turtle Bay-East Midtown,POINT (-73.96901836524583 40.75431357667343)
193,2014,7473,MN20,Murray Hill-Kips Bay,POINT (-73.97750785419447 40.74421446479465)
194,2015,8302,MN20,Murray Hill-Kips Bay,POINT (-73.97750785419447 40.74421446479465)
195,2016,10500,MN20,Murray Hill-Kips Bay,POINT (-73.97750785419447 40.74421446479465)
196,2017,11694,MN20,Murray Hill-Kips Bay,POINT (-73.97750785419447 40.74421446479465)
197,2018,13065,MN20,Murray Hill-Kips Bay,POINT (-73.97750785419447 40.74421446479465)
198,2019,13401,MN20,Murray Hill-Kips Bay,POINT (-73.97750785419447 40.74421446479465)
199,2020,15244,MN20,Murray Hill-Kips Bay,POINT (-73.97750785419447 40.74421446479465)
200,2014,6775,MN21,Gramercy,POINT (-73.9840542888488 40.73682450672227)
201,2015,7598,MN21,Gramercy,POINT (-73.9840542888488 40.73682450672227)
202,2016,9082,MN21,Gramercy,POINT (-73.9840542888488 40.73682450672227)
203,2017,9889,MN21,Gramercy,POINT (-73.9840542888488 40.73682450672227)
204,2018,9922,MN21,Gramercy,POINT (-73.9840542888488 40.73682450672227)
205,2019,10609,MN21,Gramercy,POINT (-73.9840542888488 40.73682450672227)
206,2020,11691,MN21,Gramercy,POINT (-73.9840542888488 40.73682450672227)
207,2014,7685,MN22,East Village,POINT (-73.98593461160982 40.727620517552)
208,2015,8640,MN22,East Village,POINT (-73.98593461160982 40.727620517552)
209,2016,11021,MN22,East Village,POINT (-73.98593461160982 40.727620517552)
210,2017,11775,MN22,East Village,POINT (-73.98593461160982 40.727620517552)
211,2018,12492,MN22,East Village,POINT (-73.98593461160982 40.727620517552)
212,2019,13099,MN22,East Village,POINT (-73.98593461160982 40.727620517552)
213,2020,15118,MN22,East Village,POINT (-73.98593461160982 40.727620517552)
214,2014,8115,MN23,West Village,POINT (-74.00151594158702 40.73301686966517)
215,2015,9048,MN23,West Village,POINT (-74.00151594158702 40.73301686966517)
216,2016,11345,MN23,West Village,POINT (-74.00151594158702 40.73301686966517)
217,2017,12223,MN23,West Village,POINT (-74.00151594158702 40.73301686966517)
218,2018,13438,MN23,West Village,POINT (-74.00151594158702 40.73301686966517)
219,2019,13936,MN23,West Village,POINT (-74.00151594158702 40.73301686966517)
220,2020,15948,MN23,West Village,POINT (-74.00151594158702 40.73301686966517)
221,2014,8391,MN24,SoHo-TriBeCa-Civic Center-Little Italy,POINT (-74.0047474490757 40.72076652103357)
222,2015,9282,MN24,SoHo-TriBeCa-Civic Center-Little Italy,POINT (-74.0047474490757 40.72076652103357)
223,2016,11594,MN24,SoHo-TriBeCa-Civic Center-Little Italy,POINT (-74.0047474490757 40.72076652103357)
224,2017,12395,MN24,SoHo-TriBeCa-Civic Center-Little Italy,POINT (-74.0047474490757 40.72076652103357)
225,2018,13351,MN24,SoHo-TriBeCa-Civic Center-Little Italy,POINT (-74.0047474490757 40.72076652103357)
226,2019,13895,MN24,SoHo-TriBeCa-Civic Center-Little Italy,POINT (-74.0047474490757 40.72076652103357)
227,2020,15817,MN24,SoHo-TriBeCa-Civic Center-Little Italy,POINT (-74.0047474490757 40.72076652103357)
228,2014,7739,MN25,Battery Park City-Lower Manhattan,POINT (-74.01024562253978 40.70800796540923)
229,2015,8439,MN25,Battery Park City-Lower Manhattan,POINT (-74.01024562253978 40.70800796540923)
230,2016,10731,MN25,Battery Park City-Lower Manhattan,POINT (-74.01024562253978 40.70800796540923)
231,2017,11476,MN25,Battery Park City-Lower Manhattan,POINT (-74.01024562253978 40.70800796540923)
232,2018,11952,MN25,Battery Park City-Lower Manhattan,POINT (-74.01024562253978 40.70800796540923)
233,2019,12649,MN25,Battery Park City-Lower Manhattan,POINT (-74.01024562253978 40.70800796540923)
234,2020,14449,MN25,Battery Park City-Lower Manhattan,POINT (-74.01024562253978 40.70800796540923)
235,2014,8019,MN27,Chinatown,POINT (-73.99462935417733 40.71560741924985)
