Boro,HH,avg_traffic,avg_nb_measurements
Brooklyn,0,8476.426332288402,168.10344827586206
Brooklyn,1,5817.858934169279,168.30721003134795
Brooklyn,2,4228.993730407524,168.27586206896552
Brooklyn,3,3630.115987460815,168.35109717868337
Brooklyn,4,4506.626959247649,168.61442006269593
Brooklyn,5,7699.240625,168.178125
Brooklyn,6,13076.103125,168.2125
Brooklyn,7,17163.601246105918,168.11214953271028
Brooklyn,8,18629.26168224299,168.01246105919003
Brooklyn,9,18249.15673981191,169.18808777429467
Brooklyn,10,17769.937304075236,169.05329153605015
Brooklyn,11,18327.235849056604,169.3930817610063
Brooklyn,12,18908.95283018868,169.2987421383648
Brooklyn,13,19442.223270440252,169.21069182389937
Brooklyn,14,20568.603773584906,169.1823899371069
Brooklyn,15,21614.905660377357,169.0314465408805
Brooklyn,16,21918.48113207547,168.83647798742138
Brooklyn,17,22073.330188679247,168.54088050314465
Brooklyn,18,21021.776729559748,168.43710691823898
Brooklyn,19,19043.962264150945,168.16666666666666
Brooklyn,20,16741.056603773584,168.13522012578616
Brooklyn,21,14601.622641509433,168.1069182389937
Brooklyn,22,12816.040880503144,168.20754716981133
Brooklyn,23,10952.817610062893,168.50943396226415
