Boro,HH,avg_traffic,avg_nb_measurements
Manhattan,0,11738.09935897436,120.47435897435898
Queens,0,7477.593220338983,160.25762711864408
Brooklyn,0,6940.213166144201,143.1473354231975
Bronx,0,4808.220779220779,80.25108225108225
Staten Island,0,912.0935251798561,35.74820143884892
Manhattan,1,8474.189102564103,120.4775641025641
Queens,1,4889.708474576271,160.26779661016948
Brooklyn,1,4721.557993730407,143.15673981191222
Bronx,1,3266.073593073593,80.32467532467533
Staten Island,1,592.4676258992806,35.7410071942446
Manhattan,2,6397.378205128205,120.54166666666667
Queens,2,3541.3627118644067,160.27118644067798
Brooklyn,2,3418.3228840125394,143.17241379310346
Bronx,2,2453.038961038961,80.37662337662337
Staten Island,2,428.53237410071944,35.7410071942446
Manhattan,3,5385.615384615385,120.6025641025641
Queens,3,3162.830508474576,160.2915254237288
Brooklyn,3,2937.2100313479623,143.2131661442006
Bronx,3,2190.7619047619046,80.41558441558442
Staten Island,3,369.6043165467626,35.7410071942446
Manhattan,4,5740.858974358975,120.60576923076923
Queens,4,4408.572881355933,160.27796610169491
Brooklyn,4,3623.476489028213,143.26018808777428
Bronx,4,2834.073593073593,80.41125541125541
Staten Island,4,481.705035971223,35.73381294964029
Queens,5,7723.237288135593,160.1593220338983
Manhattan,5,7578.330128205128,120.58333333333333
Brooklyn,5,5895.523510971787,143.24137931034483
Bronx,5,4762.363636363636,80.3982683982684
Staten Island,5,961.884892086331,35.71223021582734
Queens,6,14365.888513513513,159.50675675675674
Manhattan,6,12695.373801916932,120.04472843450479
Brooklyn,6,10371.658307210031,143.1974921630094
Bronx,6,8824.497835497836,80.38095238095238
Staten Island,6,2129.978417266187,35.68345323741007
Queens,7,20305.22972972973,159.4189189189189
Manhattan,7,17164.25396825397,119.15873015873017
Brooklyn,7,15020.196261682244,142.42990654205607
Bronx,7,12494.495689655172,79.99568965517241
Staten Island,7,3418.292857142857,35.371428571428574
Queens,8,22395.77441077441,159.76430976430976
Manhattan,8,19206.78548895899,118.26182965299685
Brooklyn,8,16713.820433436533,141.56346749226006
Bronx,8,13164.525862068966,80.03017241379311
Staten Island,8,3521.055944055944,34.48251748251748
Queens,9,20941.277966101694,160.68813559322035
Manhattan,9,19112.07911392405,118.54746835443038
Brooklyn,9,16063.829192546584,142.04037267080744
Bronx,9,12289.081896551725,80.07327586206897
Staten Island,9,3290.5106382978724,35.0
Queens,10,20342.724489795917,161.0204081632653
Manhattan,10,18950.900958466453,119.90095846645367
Brooklyn,10,15533.521739130434,142.0496894409938
Bronx,10,12021.713675213676,79.44444444444444
Staten Island,10,3308.2676056338028,34.37323943661972
Queens,11,20993.877551020407,161.19727891156464
Manhattan,11,19527.55271565495,120.12460063897764
Brooklyn,11,16140.328125,143.06875
Bronx,11,12808.831896551725,80.34482758620689
Staten Island,11,3634.364285714286,35.08571428571429
Queens,12,21916.915254237287,160.94915254237287
Manhattan,12,19986.137380191693,120.46645367412141
Brooklyn,12,16879.739811912226,143.717868338558
Bronx,12,13424.741379310344,80.64224137931035
Staten Island,12,3932.717391304348,35.7463768115942
Queens,13,22625.084745762713,160.75593220338982
Manhattan,13,20296.686900958466,120.63258785942492
Brooklyn,13,17547.71473354232,143.90595611285266
Bronx,13,14018.995670995671,81.25974025974025
Staten Island,13,4061.7028985507245,35.85507246376812
Queens,14,24629.013559322033,160.64745762711865
Manhattan,14,21276.632587859425,120.83067092651757
Brooklyn,14,18792.523510971787,144.04388714733543
Bronx,14,15229.87445887446,81.26839826839827
Staten Island,14,4402.094202898551,35.85507246376812
Queens,15,26322.186440677968,160.48474576271187
Manhattan,15,22462.482428115018,120.94888178913737
Brooklyn,15,19775.633228840125,144.06269592476488
Bronx,15,16377.432900432901,81.23809523809524
Staten Island,15,4593.623188405797,35.85507246376812
Queens,16,26689.854237288135,160.35593220338984
Manhattan,16,22720.56549520767,120.96485623003196
Brooklyn,16,20108.880877742948,144.1065830721003
Bronx,16,16674.47619047619,81.24675324675324
Staten Island,16,4631.572463768116,35.85507246376812
Queens,17,26754.830508474577,160.24406779661018
Manhattan,17,22799.23642172524,120.97444089456869
Brooklyn,17,20098.865203761754,144.20062695924764
Bronx,17,16715.69264069264,81.25541125541126
Staten Island,17,4591.304347826087,35.85507246376812
Queens,18,25270.386440677965,160.22372881355932
Manhattan,18,22850.14696485623,120.99361022364218
Brooklyn,18,18992.545454545456,144.24137931034483
Bronx,18,15658.52380952381,81.31601731601732
Staten Island,18,4190.739130434783,35.85507246376812
Queens,19,22181.11186440678,160.20338983050848
Manhattan,19,21497.102236421724,121.0479233226837
Brooklyn,19,16999.74921630094,144.29467084639498
Bronx,19,13822.528138528138,81.35930735930737
Staten Island,19,3574.072463768116,35.85507246376812
Manhattan,20,19272.955271565494,121.06389776357827
Queens,20,18690.098305084746,160.30847457627118
Brooklyn,20,14795.924764890282,144.31974921630095
Bronx,20,11770.584415584415,81.39393939393939
Staten Island,20,2853.4244604316546,35.62589928057554
Manhattan,21,17863.012779552715,121.13418530351437
Queens,21,15759.894915254237,160.51186440677967
Brooklyn,21,12767.134796238244,144.3448275862069
Bronx,21,9895.12554112554,81.42424242424242
Staten Island,21,2263.94964028777,35.65467625899281
Manhattan,22,16937.159744408946,121.14696485623003
Queens,22,13585.57627118644,160.65084745762712
Brooklyn,22,11040.934169278997,144.41065830721004
Bronx,22,8402.069264069263,81.48051948051948
Staten Island,22,1764.0071942446043,35.68345323741007
Manhattan,23,14923.843949044585,120.79299363057325
Queens,23,10591.247457627118,160.70169491525425
Brooklyn,23,9226.934169278997,144.41379310344828
Bronx,23,6657.17316017316,81.4891774891775
