Boro,HH,avg_traffic,avg_nb_measurements
Queens,0,6225.785467128027,109.66089965397924
Queens,1,4056.1038062283737,109.66089965397924
Queens,2,2951.78892733564,109.66089965397924
Queens,3,2757.4048442906574,109.66089965397924
Queens,4,4009.8685121107264,109.66089965397924
Queens,5,7519.703448275862,109.29310344827586
Queens,6,12989.452702702703,107.24324324324324
Queens,7,16482.729096989966,106.49498327759197
Queens,8,17362.026936026938,107.0909090909091
Queens,9,16188.081911262798,108.35494880546075
Queens,10,15561.709897610921,108.31399317406144
Queens,11,16227.828178694159,109.2233676975945
Queens,12,17040.24742268041,109.3298969072165
Queens,13,17795.082474226805,109.25773195876289
Queens,14,19412.876288659794,109.29553264604812
Queens,15,20312.6529209622,109.29209621993127
Queens,16,20509.40206185567,109.30584192439862
Queens,17,20502.917525773195,109.31958762886597
Queens,18,19547.25085910653,109.31958762886597
Queens,19,17531.539518900343,109.0446735395189
Queens,20,14821.9793814433,109.0446735395189
Queens,21,12400.309278350516,109.0446735395189
Queens,22,10670.254295532646,109.0446735395189
Queens,23,8418.498281786942,109.03780068728523
