Boro,HH,avg_traffic,avg_nb_measurements
Manhattan,0,15559.573122529644,135.65217391304347
Queens,0,6014.016891891892,131.8108108108108
Brooklyn,0,5091.976588628762,99.70234113712375
Bronx,0,4961.232365145228,101.12863070539419
Staten Island,0,1819.7364341085272,53.14728682170543
Manhattan,1,11536.885826771653,135.1259842519685
Queens,1,4092.2905405405404,131.7972972972973
Brooklyn,1,3432.9933110367892,99.74581939799332
Bronx,1,3349.244813278008,101.12863070539419
Staten Island,1,1105.6046511627908,53.14728682170543
Manhattan,2,8805.4,134.62745098039215
Queens,2,3003.679054054054,131.7972972972973
Brooklyn,2,2495.4916387959865,99.72575250836121
Bronx,2,2477.2116182572613,101.12863070539419
Staten Island,2,724.2325581395348,53.14728682170543
Manhattan,3,7392.823529411765,134.6156862745098
Queens,3,2674.0945945945946,131.79054054054055
Bronx,3,2179.933609958506,101.12863070539419
Brooklyn,3,2076.334448160535,99.7123745819398
Staten Island,3,606.8294573643411,53.14728682170543
Manhattan,4,7607.035294117647,134.62745098039215
Queens,4,3528.614864864865,131.80067567567568
Bronx,4,2827.4771784232366,101.12448132780084
Brooklyn,4,2506.678929765886,99.70234113712375
Staten Island,4,819.8759689922481,53.14728682170543
Manhattan,5,10031.270588235295,134.65882352941176
Queens,5,6377.19191919192,131.3973063973064
Bronx,5,4784.9377593361,101.11203319502074
Brooklyn,5,4242.016722408027,99.68896321070234
Staten Island,5,1800.3720930232557,53.14728682170543
Manhattan,6,16423.69019607843,134.72549019607843
Queens,6,11868.070945945947,131.86824324324326
Bronx,6,8678.390041493776,101.13278008298755
Brooklyn,6,7488.246666666667,99.31666666666666
Staten Island,6,4046.7175572519086,52.534351145038165
Manhattan,7,22008.188235294117,135.01960784313727
Queens,7,15813.805369127516,131.0268456375839
Bronx,7,12229.902040816327,99.71836734693878
Brooklyn,7,10634.245033112582,98.50993377483444
Staten Island,7,6462.9111111111115,50.977777777777774
Manhattan,8,24312.16796875,134.82421875
Queens,8,16899.489932885906,130.75503355704697
Bronx,8,12895.882113821139,99.58943089430895
Brooklyn,8,11808.384868421053,97.6907894736842
Staten Island,8,6469.4525547445255,49.96350364963504
Manhattan,9,24308.337254901962,135.46666666666667
Queens,9,15668.31313131313,131.0942760942761
Bronx,9,12010.012295081968,100.41803278688525
Brooklyn,9,11309.677631578947,97.65460526315789
Staten Island,9,6022.389705882353,50.23529411764706
Manhattan,10,23931.38039215686,135.38823529411764
Queens,10,15364.441077441077,131.15824915824916
Bronx,10,12062.888429752065,101.3099173553719
Brooklyn,10,11109.102990033223,98.81395348837209
Staten Island,10,6361.20895522388,51.24626865671642
Manhattan,11,24253.596078431372,135.35294117647058
Queens,11,16031.047138047137,131.1919191919192
Bronx,11,12844.817427385891,101.60165975103735
Brooklyn,11,11520.383333333333,99.27
Staten Island,11,6924.2406015037595,51.78195488721804
Manhattan,12,24500.76862745098,135.25882352941176
Queens,12,16779.94612794613,131.25252525252526
Bronx,12,13437.09090909091,101.1198347107438
Brooklyn,12,11967.736666666666,99.51666666666667
Staten Island,12,7400.9699248120305,51.78947368421053
Manhattan,13,24840.176470588234,135.3372549019608
Queens,13,17493.579124579126,131.3872053872054
Bronx,13,14072.297520661157,101.11570247933884
Brooklyn,13,12387.253333333334,99.68
Staten Island,13,7632.330827067669,51.73684210526316
Manhattan,14,25958.811764705883,135.30196078431374
Queens,14,18877.912751677854,131.06040268456377
Bronx,14,15271.190082644629,101.10743801652893
Brooklyn,14,13272.39,99.75333333333333
Staten Island,14,8409.924242424242,52.196969696969695
Manhattan,15,26990.811764705883,135.3607843137255
Queens,15,20005.38590604027,131.2281879194631
Bronx,15,16242.095041322315,101.0909090909091
Brooklyn,15,13982.62,99.8
Staten Island,15,8490.075757575758,52.21212121212121
Manhattan,16,27108.647058823528,135.41960784313724
Queens,16,20504.590604026846,131.33221476510067
Bronx,16,16643.962809917357,101.04545454545455
Brooklyn,16,14330.916666666666,99.80333333333333
Staten Island,16,8486.628787878788,52.21212121212121
Manhattan,17,27494.772549019606,135.43529411764706
Queens,17,20601.805369127516,131.34563758389262
Bronx,17,16595.603305785124,101.03719008264463
Brooklyn,17,14432.02,99.81
Staten Island,17,8393.60606060606,52.21212121212121
Manhattan,18,27910.701960784314,135.48235294117646
Queens,18,19551.25167785235,131.24161073825502
Bronx,18,15692.520661157025,101.03719008264463
Brooklyn,18,13719.316666666668,99.8
Staten Island,18,7840.840909090909,52.21212121212121
Manhattan,19,26709.36470588235,135.49019607843138
Queens,19,17399.989932885906,131.16778523489933
Bronx,19,13898.195020746887,101.2655601659751
Brooklyn,19,12263.73,99.73333333333333
Staten Island,19,6884.7890625,53.75
Manhattan,20,24171.439215686274,135.48235294117646
Queens,20,14469.147651006711,131.16107382550337
Bronx,20,11741.0,101.26970954356847
Brooklyn,20,10623.983333333334,99.74333333333334
Staten Island,20,5455.375,53.75
Manhattan,21,22506.917647058825,135.48235294117646
Queens,21,12127.68456375839,131.2013422818792
Bronx,21,9909.298755186723,101.34439834024896
Brooklyn,21,9037.76,99.77
Staten Island,21,4338.8515625,53.75
Manhattan,22,21297.145098039215,135.48235294117646
Queens,22,10357.335570469799,131.2718120805369
Bronx,22,8375.323651452281,101.34439834024896
Brooklyn,22,7871.85,99.78333333333333
Staten Island,22,3469.203125,53.75
Manhattan,23,19032.164705882355,135.4470588235294
Queens,23,8194.325503355705,131.2751677852349
Bronx,23,6673.460580912863,101.35684647302905
Brooklyn,23,6641.47491638796,100.10702341137124
Staten Island,23,2695.1953125,53.7421875
