Boro,HH,avg_traffic,avg_nb_measurements
Manhattan,0,13469.30612244898,125.7295918367347
Manhattan,1,10216.913265306122,125.5
Manhattan,2,7783.142857142857,125.38265306122449
Manhattan,3,6505.591836734694,125.25510204081633
Manhattan,4,6576.433673469388,125.12755102040816
Manhattan,5,9050.219387755102,124.98469387755102
Manhattan,6,14055.897959183674,125.01530612244898
Manhattan,7,18128.70408163265,124.82142857142857
Manhattan,8,19510.668367346938,124.79591836734694
Manhattan,9,19557.035714285714,124.85714285714286
Manhattan,10,19812.15306122449,124.88265306122449
Manhattan,11,20043.438775510203,124.96938775510205
Manhattan,12,20263.69387755102,125.13265306122449
Manhattan,13,20686.44387755102,125.22448979591837
Manhattan,14,21544.867346938776,125.28061224489795
Manhattan,15,22308.724489795917,125.34183673469387
Manhattan,16,22301.831632653062,125.35204081632654
Manhattan,17,22319.535714285714,125.39285714285714
Manhattan,18,22420.70918367347,125.40816326530613
Manhattan,19,21775.520408163266,125.40816326530613
Manhattan,20,20617.79591836735,125.40816326530613
Manhattan,21,19568.275510204083,125.38775510204081
Manhattan,22,18648.19387755102,125.48979591836735
Manhattan,23,16634.494897959183,125.61224489795919
