Boro,HH,avg_traffic,avg_nb_measurements
Manhattan,0,11738.09935897436,120.47435897435898
Manhattan,1,8474.189102564103,120.4775641025641
Manhattan,2,6397.378205128205,120.54166666666667
Manhattan,3,5385.615384615385,120.6025641025641
Manhattan,4,5740.858974358975,120.60576923076923
Manhattan,5,7578.330128205128,120.58333333333333
Manhattan,6,12695.373801916932,120.04472843450479
Manhattan,7,17164.25396825397,119.15873015873017
Manhattan,8,19206.78548895899,118.26182965299685
Manhattan,9,19112.07911392405,118.54746835443038
Manhattan,10,18950.900958466453,119.90095846645367
Manhattan,11,19527.55271565495,120.12460063897764
Manhattan,12,19986.137380191693,120.46645367412141
Manhattan,13,20296.686900958466,120.63258785942492
Manhattan,14,21276.632587859425,120.83067092651757
Manhattan,15,22462.482428115018,120.94888178913737
Manhattan,16,22720.56549520767,120.96485623003196
Manhattan,17,22799.23642172524,120.97444089456869
Manhattan,18,22850.14696485623,120.99361022364218
Manhattan,19,21497.102236421724,121.0479233226837
Manhattan,20,19272.955271565494,121.06389776357827
Manhattan,21,17863.012779552715,121.13418530351437
Manhattan,22,16937.159744408946,121.14696485623003
Manhattan,23,14923.843949044585,120.79299363057325
