Boro,HH,avg_traffic,avg_nb_measurements
Staten Island,0,1086.962962962963,27.703703703703702
Staten Island,1,630.5185185185185,27.703703703703702
Staten Island,2,400.18518518518516,27.703703703703702
Staten Island,3,353.3703703703704,27.703703703703702
Staten Island,4,564.2222222222222,27.703703703703702
Staten Island,5,1310.7777777777778,27.703703703703702
Staten Island,6,2564.222222222222,27.703703703703702
Staten Island,7,4123.333333333333,27.703703703703702
Staten Island,8,4872.37037037037,27.703703703703702
Staten Island,9,5104.185185185185,27.703703703703702
Staten Island,10,5499.185185185185,27.703703703703702
Staten Island,11,6053.777777777777,27.703703703703702
Staten Island,12,6568.888888888889,27.703703703703702
Staten Island,13,6739.555555555556,27.703703703703702
Staten Island,14,6978.777777777777,27.703703703703702
Staten Island,15,7325.925925925926,27.703703703703702
Staten Island,16,7312.518518518518,27.703703703703702
Staten Island,17,7238.740740740741,27.703703703703702
Staten Island,18,6636.37037037037,27.703703703703702
Staten Island,19,5529.814814814815,27.703703703703702
Staten Island,20,4308.962962962963,27.703703703703702
Staten Island,21,3180.074074074074,27.703703703703702
Staten Island,22,2473.222222222222,27.703703703703702
Staten Island,23,1805.5925925925926,27.703703703703702
