Boro,HH,avg_traffic,avg_nb_measurements
Brooklyn,0,5659.448979591837,152.2074829931973
Brooklyn,1,3854.5,152.20408163265307
Brooklyn,2,2772.28231292517,152.18707482993196
Brooklyn,3,2352.285714285714,152.1768707482993
Brooklyn,4,2882.0068027210887,152.16666666666666
Brooklyn,5,5226.3231292517,152.16326530612244
Brooklyn,6,9510.837288135594,151.21694915254238
Brooklyn,7,13437.168350168351,149.4915824915825
Brooklyn,8,14371.382550335571,148.8255033557047
Brooklyn,9,13703.511784511784,149.46464646464648
Brooklyn,10,13345.844594594595,150.47635135135135
Brooklyn,11,13825.410169491526,151.19661016949152
Brooklyn,12,14343.261016949153,151.27796610169491
Brooklyn,13,14887.572881355933,151.4813559322034
Brooklyn,14,15976.745762711864,151.58983050847456
Brooklyn,15,16705.93559322034,151.6406779661017
Brooklyn,16,17001.88813559322,151.7084745762712
Brooklyn,17,16986.45084745763,151.75932203389831
Brooklyn,18,15968.101694915254,151.7728813559322
Brooklyn,19,14214.4,151.7728813559322
Brooklyn,20,12190.796610169491,151.7728813559322
Brooklyn,21,10409.033898305084,151.77966101694915
Brooklyn,22,8989.667796610169,151.8
Brooklyn,23,7503.362711864407,151.8
