Boro,HH,avg_traffic,avg_nb_measurements
Queens,0,3242.097222222222,103.83333333333333
Queens,1,2073.5416666666665,103.83333333333333
Queens,2,1527.2222222222222,103.83333333333333
Queens,3,1382.6805555555557,103.83333333333333
Queens,4,1938.236111111111,103.83333333333333
Queens,5,3915.902777777778,103.83333333333333
Queens,6,6937.125,103.83333333333333
Queens,7,9481.291666666666,103.83333333333333
Queens,8,10701.902777777777,103.83333333333333
Queens,9,10840.069444444445,103.83333333333333
Queens,10,11269.111111111111,103.83333333333333
Queens,11,12071.986111111111,103.83333333333333
Queens,12,12823.388888888889,103.83333333333333
Queens,13,13430.236111111111,103.83333333333333
Queens,14,14261.472222222223,103.83333333333333
Queens,15,14731.180555555555,103.83333333333333
Queens,16,14712.902777777777,103.83333333333333
Queens,17,14376.875,103.83333333333333
Queens,18,13142.388888888889,103.83333333333333
Queens,19,11358.277777777777,103.83333333333333
Queens,20,9210.111111111111,103.83333333333333
Queens,21,7245.263888888889,103.83333333333333
Queens,22,6153.458333333333,103.83333333333333
Queens,23,4780.833333333333,103.83333333333333
