name,borough,neighborhood,neighborhood_id,borough_id
1 Ave & E 44 St,Manhattan,Turtle Bay-East Midtown,MN19,1.0
2 Ave & E 58 St,Manhattan,Turtle Bay-East Midtown,MN19,1.0
E 51 St & 1 Ave,Manhattan,Turtle Bay-East Midtown,MN19,1.0
E 47 St & 2 Ave,Manhattan,Turtle Bay-East Midtown,MN19,1.0
E 51 St & Lexington Ave,Manhattan,Turtle Bay-East Midtown,MN19,1.0
E 52 St & 2 Ave,Manhattan,Turtle Bay-East Midtown,MN19,1.0
E 47 St & Park Ave,Manhattan,Turtle Bay-East Midtown,MN19,1.0
E 58 St & 3 Ave,Manhattan,Turtle Bay-East Midtown,MN19,1.0
E 56 St & 3 Ave,Manhattan,Turtle Bay-East Midtown,MN19,1.0
E 48 St & 3 Ave,Manhattan,Turtle Bay-East Midtown,MN19,1.0
E 55 St & Lexington Ave,Manhattan,Turtle Bay-East Midtown,MN19,1.0
FDR Drive & E 35 St,Manhattan,Turtle Bay-East Midtown,MN19,1.0
E 43 St & 2 Ave,Manhattan,Turtle Bay-East Midtown,MN19,1.0
E 55 St & 2 Ave,Manhattan,Turtle Bay-East Midtown,MN19,1.0
E 45 St & 3 Ave,Manhattan,Turtle Bay-East Midtown,MN19,1.0
E 53 St & Lexington Ave,Manhattan,Turtle Bay-East Midtown,MN19,1.0
E 47 St & 1 Ave,Manhattan,Turtle Bay-East Midtown,MN19,1.0
E 55 St & 3 Ave,Manhattan,Turtle Bay-East Midtown,MN19,1.0
Stanton St & Chrystie St,Manhattan,Chinatown,MN27,1.0
Allen St & Hester St,Manhattan,Chinatown,MN27,1.0
Allen St & E Houston St,Manhattan,Chinatown,MN27,1.0
Forsyth St & Canal St,Manhattan,Chinatown,MN27,1.0
Pike St & E Broadway,Manhattan,Chinatown,MN27,1.0
Forsyth St & Broome St,Manhattan,Chinatown,MN27,1.0
St James Pl & Pearl St,Manhattan,Chinatown,MN27,1.0
Rivington St & Chrystie St,Manhattan,Chinatown,MN27,1.0
St James Pl & Oliver St,Manhattan,Chinatown,MN27,1.0
Suffolk St & Stanton St,Manhattan,Chinatown,MN27,1.0
Catherine St & Monroe St,Manhattan,Chinatown,MN27,1.0
Allen St & Rivington St,Manhattan,Chinatown,MN27,1.0
Division St & Bowery,Manhattan,Chinatown,MN27,1.0
Norfolk St & Broome St,Manhattan,Chinatown,MN27,1.0
Market St & Cherry St,Manhattan,Chinatown,MN27,1.0
Bayard St & Baxter St,Manhattan,Chinatown,MN27,1.0
9 Ave & W 18 St,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,1.0
W 15 St & 7 Ave,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,1.0
E 24 St & Park Ave S,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,1.0
W 29 St & 9 Ave,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,1.0
W 25 St & 6 Ave,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,1.0
9 Ave & W 22 St,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,1.0
W 26 St & 10 Ave,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,1.0
W 17 St & 8 Ave,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,1.0
W 18 St & 6 Ave,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,1.0
12 Ave & W 40 St,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,1.0
10 Ave & W 28 St,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,1.0
W 20 St & 8 Ave,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,1.0
W 20 St & 7 Ave,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,1.0
W 26 St & 8 Ave,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,1.0
