name,borough,neighborhood,neighborhood_id,borough_id
Howard St & Centre St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Centre St & Chambers St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Hudson St & Reade St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Warren St & Church St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Elizabeth St & Hester St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
W Broadway & Spring St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
6 Ave & Broome St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Duane St & Greenwich St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Lispenard St & Broadway,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Cleveland Pl & Spring St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
MacDougal St & Prince St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Franklin St & W Broadway,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
6 Ave & Canal St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Mott St & Prince St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Lafayette St & Jersey St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Reade St & Broadway,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Greenwich St & Warren St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Greenwich St & W Houston St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Greenwich St & N Moore St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Watts St & Greenwich St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Mercer St & Spring St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Leonard St & Church St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Laight St & Hudson St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Harrison St & Hudson St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Grand St & Greene St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Barclay St & Church St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Centre St & Worth St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Murray St & West St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Pier 40 - Hudson River Park,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Grand St & Elizabeth St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Greenwich St & Hubert St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
South End Ave & Liberty St,Manhattan,Battery Park City-Lower Manhattan,MN25,1.0
South St & Whitehall St,Manhattan,Battery Park City-Lower Manhattan,MN25,1.0
West Thames St,Manhattan,Battery Park City-Lower Manhattan,MN25,1.0
Maiden Ln & Pearl St,Manhattan,Battery Park City-Lower Manhattan,MN25,1.0
John St & William St,Manhattan,Battery Park City-Lower Manhattan,MN25,1.0
Peck Slip & Front St,Manhattan,Battery Park City-Lower Manhattan,MN25,1.0
Pearl St & Hanover Square,Manhattan,Battery Park City-Lower Manhattan,MN25,1.0
Fulton St & William St,Manhattan,Battery Park City-Lower Manhattan,MN25,1.0
West St & Chambers St,Manhattan,Battery Park City-Lower Manhattan,MN25,1.0
Little West St & 1 Pl,Manhattan,Battery Park City-Lower Manhattan,MN25,1.0
Vesey Pl & River Terrace,Manhattan,Battery Park City-Lower Manhattan,MN25,1.0
Fulton St & Broadway,Manhattan,Battery Park City-Lower Manhattan,MN25,1.0
Bus Slip & State St,Manhattan,Battery Park City-Lower Manhattan,MN25,1.0
Spruce St & Nassau St,Manhattan,Battery Park City-Lower Manhattan,MN25,1.0
Liberty St & Broadway,Manhattan,Battery Park City-Lower Manhattan,MN25,1.0
William St & Pine St,Manhattan,Battery Park City-Lower Manhattan,MN25,1.0
Cliff St & Fulton St,Manhattan,Battery Park City-Lower Manhattan,MN25,1.0
Broad St & Bridge St,Manhattan,Battery Park City-Lower Manhattan,MN25,1.0
Broadway & Battery Pl,Manhattan,Battery Park City-Lower Manhattan,MN25,1.0
Front St & Maiden Ln,Manhattan,Battery Park City-Lower Manhattan,MN25,1.0
Old Slip & Front St,Manhattan,Battery Park City-Lower Manhattan,MN25,1.0
South St & Gouverneur Ln,Manhattan,Battery Park City-Lower Manhattan,MN25,1.0
Water - Whitehall Plaza,Manhattan,Battery Park City-Lower Manhattan,MN25,1.0
E 31 St & 3 Ave,Manhattan,Murray Hill-Kips Bay,MN20,1.0
E 33 St & 2 Ave,Manhattan,Murray Hill-Kips Bay,MN20,1.0
Pershing Square South,Manhattan,Murray Hill-Kips Bay,MN20,1.0
E 39 St & 2 Ave,Manhattan,Murray Hill-Kips Bay,MN20,1.0
